Event,Time,Date,Party,Agenda,Location
taking medicine,9am,monday,father,-,-
taking medicine,7pm,the 16th,Tom,-,-
optometrist appointment,10am,wednesday,brother,-,-
optometrist appointment,11am,the 13th,Alex,-,-
football activity,7pm,the 14th,Ana,-,-
conference,9am,the 18th,boss,go over quarterly report,conference room 102
yoga activity,3pm,the 15th,Alex,-,-
football activity,4pm,the 18th,aunt,-,-
conference,10am,the 7th,vice president,discuss dress code,conference room 102
swimming activity,6pm,the 20th,Alex,-,-
dentist appointment,4pm,the 10th,Ana,-,-
dentist appointment,3pm,friday,Alex,-,-
yoga activity,1pm,the 8th,aunt,-,-
swimming activity,5pm,saturday,Martha,-,-
taking medicine,7pm,tuesday,Alex,-,-
lab appointment,11am,saturday,father,-,-
doctor appointment,1pm,sunday,Alex,-,-
tennis activity,11am,the 2nd,Tom,-,-
meeting,1pm,the 12th,sales team,discuss dress code,conference room 100
conference,1pm,the 11th,management,go over budget,conference room 100
taking medicine,9am,the 4th,Marie,-,-
dentist appointment,10am,friday,Jon,-,-
conference,2pm,the 17th,executive team,onboard new members,100 conference room
meeting,3pm,the 17th,executive team,go over budget,conference room 102
swimming activity,4pm,the 4th,sister,-,-
dinner,7pm,the 18th,Alex,-,-
taking medicine,11am,the 12th,brother,-,-
football activity,2pm,saturday,Marie,-,-
lab appointment,5pm,the 2nd,Martha,-,-
football activity,6pm,the 14th,aunt,-,-
dentist appointment,6pm,the 13th,sister,-,-
football activity,1pm,the 13th,father,-,-
swimming activity,6pm,friday,Martha,-,-
lab appointment,5pm,the 10th,Marie,-,-
yoga activity,11am,wednesday,aunt,-,-
dentist appointment,5pm,tuesday,Jon,-,-
conference,11am,thursday,boss,onboard new members,conference room 100
doctor appointment,1pm,monday,Alex,-,-
swimming activity,7pm,tuesday,Jon,-,-
lab appointment,1 pm,thursday,-,-,-
swimming activity,11 am,tuesday,-,-,-
meeting,3 pm,thursday,sales team,go over budget,conference room 100
conference,11 am,wednesday,executive team,discuss the merger,conference room 50
dentist,10 am,thursday,-,-,-
doctor appointment,7 pm,wednesday,-,-,-
optometrist appointment,1 pm,monday,-,-,-
dentist appointment,10 am,thursday,-,-,-
meeting,1 pm,thursday,sales team,discuss the company picnic,conference room 50
yoga activity,1 pm,thursday,-,-,-
tennis activity,11 am,friday,-,-,-
dentist,7 pm,tuesday,-,-,-
lab appointment,1 pm,thursday,-,-,-
dentist appointment,3 pm,tuesday,-,-,-
meeting,11 am,thursday,sales team,discuss the company picnic,100 conference room
dentist,11 am,tuesday,-,-,-
conference,2 pm,friday,infrastructure team,go over budget,conference room 50
football activity,10 am,tuesday,-,-,-
football activity,3 pm,friday,-,-,-
dentist,10 am,wednesday,-,-,-
dentist appointment,1 pm,monday,-,-,-
yoga activity,3 pm,tuesday,-,-,-
medicine,7 pm,thursday,-,-,-
optometrist appointment,1 pm,friday,-,-,-
doctor appointment,2pm,tuesday,Jon,-,-
meeting,10am,the 13th,HR,discuss dress code,conference room 100
optometrist appointment,7pm,the 13th,Tom,-,-
conference,11am,tuesday,infrastructure team,discuss dress code,conference room 50
tennis activity,2pm,the 4th,Martha,-,-
yoga activity,1pm,the 5th,Marie,-,-
football activity,11 am,friday,-,-,-
lab appointment,10 am,tuesday,-,-,-
optometrist appointment,3 pm,monday,-,-,-
dentist,2 pm,monday,-,-,-
dentist appointment,3 pm,tuesday,-,-,-
meeting,10 am,friday,executive team,go over budget,conference room 50
swimming activity,7pm,the 3rd,sister,-,-
swimming activity,9am,the 8th,Marie,-,-
yoga activity,5pm,tuesday,mother,-,-
yoga activity,5pm,the 8th,Ana,-,-
dentist appointment,7pm,the 3rd,Alex,-,-
optometrist appointment,3pm,the 10th,Alex,-,-
tennis activity,10am,the 3rd,Tom,-,-
optometrist appointment,3pm,the 5th,Jon,-,-
meeting,11am,the 2nd,management,discuss the merger,conference room 100
doctor appointment,4pm,the 14th,Alex,-,-
football activity,3pm,the 17th,Ana,-,-
yoga activity,11am,the 14th,sister,-,-
yoga activity,7pm,the 10th,father,-,-
tennis activity,6pm,saturday,Tom,-,-
tennis activity,9am,the 13th,mother,-,-
tennis activity,10am,the 16th,Jeff,-,-
football activity,2 pm,wednesday,-,-,-
dentist,3 pm,tuesday,-,-,-
lab appointment,7 pm,friday,-,-,-
yoga activity,10 am,thursday,-,-,-
swimming activity,1 pm,wednesday,-,-,-
conference,2 pm,thursday,infrastructure team,go over budget,100 conference room
lab appointment,3pm,friday,Tom,-,-
lab appointment,11am,the 5th,father,-,-
doctor appointment,11am,the 8th,brother,-,-
football activity,5pm,sunday,brother,-,-
tennis activity,10am,the 16th,Tom,-,-
football activity,11am,the 19th,Tom,-,-
meeting,2pm,the 11th,executive team,discuss the merger,conference room 102
dinner,8pm,sunday,Jon,-,-
dinner,5 pm,monday,-,-,-
doctor appointment,7 pm,monday,-,-,-
yoga activity,10 am,friday,-,-,-
meeting,11 am,thursday,executive team,discuss the merger,conference room 100
dentist appointment,10 am,wednesday,-,-,-
lab appointment,11 am,thursday,-,-,-
dentist appointment,2pm,the 4th,Tom,-,-
meeting,2pm,friday,infrastructure team,discuss dress code,conference room 102
optometrist appointment,5pm,the 13th,Alex,-,-
lab appointment,5pm,the 8th,Ana,-,-
optometrist appointment,10am,thursday,Marie,-,-
yoga activity,2pm,the 10th,brother,-,-
lab appointment,10am,friday,aunt,-,-
optometrist appointment,1pm,the 5th,aunt,-,-
dinner,6pm,the 16th,father,-,-
yoga activity,4pm,sunday,Jeff,-,-
meeting,9am,the 9th,executive team,sign the NDA,conference room 50
lab appointment,10am,the 12th,father,-,-
meeting,3pm,the 20th,vice president,go over quarterly report,conference room 102
swimming activity,10am,the 20th,Martha,-,-
swimming activity,6pm,monday,Ana,-,-
doctor appointment,4pm,sunday,Martha,-,-
optometrist appointment,2 pm,thursday,-,-,-
swimming activity,7 pm,monday,-,-,-
meeting,1 pm,wednesday,HR,discuss the merger,conference room 50
lab appointment,11 am,friday,-,-,-
conference,2 pm,monday,executive team,discuss the merger,conference room 50
yoga activity,10 am,monday,-,-,-
yoga activity,11am,the 3rd,Jon,-,-
swimming activity,6pm,the 8th,sister,-,-
tennis activity,1pm,monday,aunt,-,-
conference,1pm,the 4th,boss,onboard new members,conference room 50
meeting,9am,the 10th,boss,discuss the company picnic,100 conference room
conference,6pm,tuesday,infrastructure team,onboard new members,conference room 50
conference,5pm,tuesday,infrastructure team,discuss the company picnic,conference room 50
conference,1pm,wednesday,boss,discuss the company picnic,conference room 102
football activity,2pm,the 10th,Jon,-,-
lab appointment,7pm,the 8th,Marie,-,-
optometrist appointment,10am,friday,mother,-,-
yoga activity,11am,the 3rd,father,-,-
tennis activity,3pm,the 8th,Marie,-,-
doctor appointment,3pm,wednesday,Tom,-,-
football activity,11 am,thursday,-,-,-
yoga activity,7 pm,thursday,-,-,-
medicine,10 am,monday,-,-,-
doctor appointment,10 am,wednesday,-,-,-
meeting,11 am,tuesday,HR,go over budget,conference room 102
lab appointment,10 am,tuesday,-,-,-
football activity,11am,the 19th,Ana,-,-
football activity,1pm,the 4th,Marie,-,-
conference,2pm,sunday,vice president,onboard new members,conference room 102
football activity,5pm,monday,Jon,-,-
dentist appointment,6pm,the 16th,Marie,-,-
dinner,6pm,the 2nd,father,-,-
football activity,2pm,the 4th,Marie,-,-
swimming activity,11am,the 17th,brother,-,-
dinner,7pm,the 8th,Tom,-,-
football activity,11am,the 3rd,Jon,-,-
optometrist appointment,5pm,saturday,brother,-,-
conference,11am,sunday,sales team,onboard new members,conference room 100
tennis activity,11am,the 5th,Tom,-,-
dentist appointment,7pm,monday,brother,-,-
optometrist appointment,2pm,the 9th,Alex,-,-
swimming activity,11am,the 2nd,sister,-,-
football activity,2pm,the 12th,Marie,-,-
tennis activity,3pm,the 3rd,Alex,-,-
tennis activity,9am,the 15th,mother,-,-
football activity,2pm,the 2nd,Jeff,-,-
conference,4pm,the 6th,vice president,discuss the company picnic,conference room 102
taking medicine,1pm,the 2nd,Martha,-,-
dinner,5 pm,friday,-,-,-
conference,2 pm,monday,infrastructure team,discuss the company picnic,conference room 50
swimming activity,7 pm,friday,-,-,-
medicine,10 am,thursday,-,-,-
tennis activity,10 am,friday,-,-,-
dentist appointment,3 pm,monday,-,-,-
lab appointment,7pm,the 16th,Marie,-,-
optometrist appointment,3pm,the 1st,father,-,-
swimming activity,11am,the 1st,Jon,-,-
football activity,6pm,the 13th,Martha,-,-
dentist appointment,3pm,the 19th,sister,-,-
lab appointment,7pm,the 7th,brother,-,-
lab appointment,10am,the 8th,Martha,-,-
doctor appointment,1pm,the 14th,Ana,-,-
football activity,2 pm,wednesday,-,-,-
doctor appointment,2 pm,tuesday,-,-,-
dentist,3 pm,monday,-,-,-
dinner,5 pm,monday,-,-,-
swimming activity,3 pm,monday,-,-,-
lab appointment,2 pm,wednesday,-,-,-
meeting,3pm,tuesday,HR,sign the NDA,conference room 50
meeting,11am,the 20th,executive team,go over budget,conference room 100
conference,5pm,thursday,HR,onboard new members,100 conference room
swimming activity,9am,the 2nd,Tom,-,-
optometrist appointment,4pm,the 4th,Martha,-,-
taking medicine,11am,the 11th,Marie,-,-
taking medicine,3pm,the 3rd,Marie,-,-
taking medicine,4pm,the 4th,Tom,-,-
dinner,5pm,tuesday,Martha,-,-
football activity,2pm,thursday,Alex,-,-
lab appointment,5pm,thursday,Alex,-,-
doctor appointment,11am,the 4th,mother,-,-
tennis activity,5pm,the 5th,father,-,-
conference,10am,friday,management,discuss dress code,conference room 100
doctor appointment,7 pm,monday,-,-,-
dentist appointment,10 am,tuesday,-,-,-
swimming activity,1 pm,wednesday,-,-,-
optometrist appointment,3 pm,friday,-,-,-
conference,2 pm,thursday,HR,go over budget,conference room 50
yoga activity,11 am,thursday,-,-,-
optometrist appointment,10am,sunday,brother,-,-
tennis activity,6pm,tuesday,sister,-,-
doctor appointment,10am,wednesday,mother,-,-
lab appointment,1pm,the 16th,Tom,-,-
tennis activity,5pm,the 6th,Tom,-,-
conference,11am,the 10th,sales team,go over budget,conference room 100
doctor appointment,1pm,the 9th,Jeff,-,-
doctor appointment,10am,the 12th,Martha,-,-
tennis activity,2pm,thursday,Marie,-,-
yoga activity,10am,the 4th,aunt,-,-
tennis activity,10am,saturday,aunt,-,-
swimming activity,1pm,friday,aunt,-,-
taking medicine,7pm,the 4th,sister,-,-
yoga activity,6pm,thursday,aunt,-,-
tennis activity,10am,the 13th,Tom,-,-
doctor appointment,3pm,the 10th,father,-,-
doctor appointment,7 pm,friday,-,-,-
yoga activity,2 pm,tuesday,-,-,-
dentist,7 pm,friday,-,-,-
conference,10 am,thursday,executive team,discuss the merger,conference room 102
meeting,7 pm,wednesday,infrastructure team,go over budget,conference room 50
football activity,11 am,wednesday,-,-,-
dinner,6pm,the 12th,sister,-,-
yoga activity,6pm,the 6th,mother,-,-
taking medicine,3pm,friday,Ana,-,-
yoga activity,10am,the 6th,Jon,-,-
optometrist appointment,9am,monday,Marie,-,-
tennis activity,9am,sunday,Ana,-,-
tennis activity,6pm,friday,sister,-,-
football activity,4pm,the 18th,Tom,-,-
conference,6pm,the 12th,infrastructure team,sign the NDA,100 conference room
doctor appointment,6pm,thursday,Martha,-,-
dentist appointment,2pm,the 8th,Jon,-,-
conference,4pm,the 15th,boss,sign the NDA,100 conference room
football activity,6pm,friday,aunt,-,-
tennis activity,5pm,the 11th,father,-,-
dinner,5pm,wednesday,Tom,-,-
taking medicine,3pm,the 3rd,Ana,-,-
taking medicine,5pm,the 8th,Jon,-,-
lab appointment,10am,saturday,sister,-,-
meeting,4pm,tuesday,vice president,go over quarterly report,conference room 50
meeting,5pm,saturday,vice president,go over quarterly report,conference room 102
lab appointment,5pm,monday,Marie,-,-
doctor appointment,4pm,the 3rd,Alex,-,-
swimming activity,1pm,friday,father,-,-
tennis activity,4pm,the 3rd,Jon,-,-
medicine,10 am,wednesday,-,-,-
tennis activity,1 pm,thursday,-,-,-
dentist appointment,3 pm,friday,-,-,-
doctor appointment,1 pm,friday,-,-,-
dinner,5 pm,monday,-,-,-
lab appointment,11 am,monday,-,-,-
meeting,3 pm,monday,sales team,discuss the company picnic,conference room 100
medicine,3 pm,thursday,-,-,-
yoga activity,11 am,wednesday,-,-,-
swimming activity,7 pm,wednesday,-,-,-
dentist,11 am,friday,-,-,-
lab appointment,7 pm,monday,-,-,-
dentist appointment,6pm,the 17th,Tom,-,-
dentist appointment,9am,the 7th,Jeff,-,-
dentist appointment,2pm,the 5th,sister,-,-
dentist appointment,3pm,sunday,Ana,-,-
taking medicine,9am,wednesday,Alex,-,-
dentist appointment,7pm,saturday,aunt,-,-
meeting,11am,the 16th,management,onboard new members,conference room 100
meeting,7pm,the 7th,sales team,go over budget,100 conference room
tennis activity,1pm,the 4th,Martha,-,-
meeting,10am,wednesday,executive team,onboard new members,conference room 100
meeting,4pm,thursday,executive team,discuss dress code,conference room 100
optometrist appointment,11am,the 2nd,Marie,-,-
optometrist appointment,1pm,the 6th,father,-,-
meeting,7pm,the 6th,management,discuss dress code,100 conference room
lab appointment,1pm,the 18th,Ana,-,-
taking medicine,5pm,the 17th,Alex,-,-
swimming activity,1 pm,monday,-,-,-
medicine,2 pm,wednesday,-,-,-
optometrist appointment,3 pm,monday,-,-,-
yoga activity,7 pm,wednesday,-,-,-
conference,3 pm,friday,infrastructure team,discuss the merger,100 conference room
doctor appointment,10 am,tuesday,-,-,-
football activity,3pm,monday,Jeff,-,-
taking medicine,2pm,the 14th,aunt,-,-
meeting,5pm,the 6th,executive team,sign the NDA,conference room 102
doctor appointment,6pm,the 1st,Martha,-,-
conference,1pm,friday,executive team,onboard new members,100 conference room
swimming activity,2pm,the 3rd,Alex,-,-
lab appointment,2pm,the 17th,aunt,-,-
doctor appointment,2pm,the 6th,Tom,-,-
dentist appointment,10am,saturday,sister,-,-
meeting,4pm,sunday,infrastructure team,discuss the merger,conference room 100
conference,7pm,saturday,HR,discuss the company picnic,conference room 50
dinner,5pm,monday,father,-,-
taking medicine,5pm,the 4th,brother,-,-
tennis activity,6pm,wednesday,Tom,-,-
yoga activity,9am,tuesday,mother,-,-
conference,1pm,the 10th,vice president,go over budget,100 conference room
swimming activity,1pm,the 8th,sister,-,-
football activity,4pm,thursday,mother,-,-
optometrist appointment,6pm,the 3rd,brother,-,-
football activity,6pm,the 8th,Martha,-,-
tennis activity,3pm,sunday,father,-,-
yoga activity,5pm,thursday,Jon,-,-
dentist appointment,7pm,the 6th,Jon,-,-
conference,9am,the 15th,boss,discuss the company picnic,100 conference room
meeting,3pm,the 10th,HR,go over budget,conference room 100
yoga activity,9am,monday,sister,-,-
yoga activity,2pm,the 16th,Jeff,-,-
conference,1pm,saturday,executive team,onboard new members,conference room 102
yoga activity,7pm,thursday,Jon,-,-
yoga activity,11am,the 9th,Martha,-,-
football activity,1 pm,monday,-,-,-
swimming activity,1 pm,thursday,-,-,-
yoga activity,3 pm,monday,-,-,-
tennis activity,11 am,thursday,-,-,-
dinner,5 pm,wednesday,-,-,-
meeting,2 pm,friday,HR,discuss the merger,conference room 50
meeting,2pm,the 12th,vice president,discuss dress code,conference room 102
taking medicine,7pm,the 18th,Jeff,-,-
dentist appointment,7pm,the 19th,Alex,-,-
taking medicine,10am,saturday,Martha,-,-
swimming activity,11am,the 19th,Jeff,-,-
meeting,5pm,the 15th,sales team,go over quarterly report,100 conference room
conference,3pm,the 1st,management,discuss the company picnic,conference room 50
dentist appointment,5pm,the 4th,sister,-,-
taking medicine,11am,the 5th,Jeff,-,-
conference,10am,sunday,HR,discuss dress code,100 conference room
conference,10am,the 13th,executive team,discuss the merger,conference room 50
yoga activity,10am,the 13th,Marie,-,-
dentist appointment,2pm,the 4th,aunt,-,-
meeting,3pm,saturday,vice president,go over budget,conference room 102
swimming activity,6pm,the 10th,mother,-,-
swimming activity,7pm,monday,Jon,-,-
yoga activity,9am,thursday,aunt,-,-
meeting,7pm,friday,sales team,discuss dress code,conference room 100
doctor appointment,1pm,sunday,aunt,-,-
dentist appointment,9am,the 5th,sister,-,-
taking medicine,4pm,the 13th,aunt,-,-
dinner,7pm,monday,sister,-,-
tennis activity,5pm,the 4th,Ana,-,-
doctor appointment,9am,the 3rd,Ana,-,-
taking medicine,6pm,friday,Ana,-,-
football activity,6pm,the 2nd,Alex,-,-
swimming activity,6pm,the 6th,aunt,-,-
doctor appointment,1pm,the 18th,Ana,-,-
lab appointment,9am,the 9th,Ana,-,-
lab appointment,4pm,the 13th,brother,-,-
conference,3pm,saturday,sales team,go over quarterly report,conference room 102
conference,5pm,the 5th,sales team,discuss the merger,conference room 100
yoga activity,3pm,the 4th,Tom,-,-
taking medicine,9am,thursday,Jon,-,-
lab appointment,9am,sunday,aunt,-,-
dinner,6pm,monday,mother,-,-
meeting,5pm,friday,vice president,discuss the merger,conference room 102
dinner,5pm,the 8th,mother,-,-
dentist appointment,10am,the 16th,brother,-,-
meeting,5pm,the 6th,HR,discuss dress code,conference room 50
conference,10am,the 20th,boss,discuss dress code,conference room 50
swimming activity,6pm,thursday,father,-,-
meeting,4pm,the 14th,boss,discuss the company picnic,conference room 100
meeting,4pm,friday,HR,discuss the company picnic,conference room 100
doctor appointment,9am,thursday,Jon,-,-
dinner,6pm,the 10th,father,-,-
swimming activity,1 pm,friday,-,-,-
dentist,1 pm,thursday,-,-,-
dentist appointment,2 pm,monday,-,-,-
dinner,5 pm,friday,-,-,-
optometrist appointment,7 pm,wednesday,-,-,-
meeting,3 pm,thursday,executive team,go over budget,conference room 102
football activity,5pm,the 1st,Martha,-,-
taking medicine,5pm,the 8th,Ana,-,-
dentist appointment,7pm,the 3rd,brother,-,-
doctor appointment,7pm,the 13th,Jon,-,-
swimming activity,3pm,the 18th,father,-,-
conference,6pm,the 14th,management,sign the NDA,100 conference room
dentist appointment,6pm,the 20th,Jeff,-,-
meeting,11am,the 17th,management,onboard new members,conference room 100
doctor appointment,7pm,the 5th,Jeff,-,-
meeting,2pm,the 8th,vice president,onboard new members,conference room 102
swimming activity,7pm,monday,Marie,-,-
yoga activity,10am,monday,Jeff,-,-
swimming activity,9am,thursday,aunt,-,-
dentist appointment,5pm,friday,Marie,-,-
swimming activity,11am,the 8th,Jon,-,-
swimming activity,3pm,friday,aunt,-,-
taking medicine,5pm,monday,Martha,-,-
dinner,7pm,tuesday,Marie,-,-
meeting,11am,the 3rd,infrastructure team,discuss the company picnic,100 conference room
football activity,7pm,thursday,brother,-,-
yoga activity,2pm,the 4th,aunt,-,-
tennis activity,6pm,the 4th,mother,-,-
swimming activity,5pm,the 19th,Alex,-,-
optometrist appointment,3pm,the 3rd,Jon,-,-
taking medicine,4pm,the 10th,Ana,-,-
dinner,7pm,saturday,Alex,-,-
lab appointment,9am,the 13th,sister,-,-
lab appointment,5pm,the 9th,brother,-,-
football activity,7pm,the 13th,Alex,-,-
optometrist appointment,11am,wednesday,aunt,-,-
taking medicine,7pm,tuesday,Alex,-,-
football activity,7pm,the 3rd,Jon,-,-
conference,3pm,the 5th,infrastructure team,discuss dress code,conference room 100
swimming activity,10am,the 5th,aunt,-,-
dentist appointment,11am,the 10th,Alex,-,-
lab appointment,1pm,sunday,Martha,-,-
lab appointment,3 pm,monday,-,-,-
optometrist appointment,10 am,wednesday,-,-,-
football activity,3 pm,friday,-,-,-
conference,7 pm,monday,sales team,discuss the merger,conference room 50
tennis activity,1 pm,thursday,-,-,-
dentist appointment,1 pm,friday,-,-,-
dinner,6pm,the 11th,Ana,-,-
dinner,8pm,friday,Jon,-,-
taking medicine,4pm,the 7th,aunt,-,-
dentist appointment,11am,tuesday,brother,-,-
dentist appointment,2pm,wednesday,Martha,-,-
lab appointment,4pm,the 17th,Ana,-,-
dentist appointment,4pm,the 18th,aunt,-,-
taking medicine,3pm,monday,mother,-,-
dinner,8pm,tuesday,father,-,-
taking medicine,4pm,thursday,Ana,-,-
dentist appointment,6pm,the 13th,Jeff,-,-
tennis activity,7pm,the 13th,Jon,-,-
doctor appointment,3pm,the 5th,mother,-,-
doctor appointment,10am,the 8th,Marie,-,-
meeting,1pm,thursday,sales team,go over budget,conference room 102
doctor appointment,9am,sunday,brother,-,-
swimming activity,7pm,the 6th,Ana,-,-
lab appointment,4pm,the 15th,sister,-,-
lab appointment,9am,the 5th,father,-,-
meeting,3pm,the 6th,vice president,discuss dress code,100 conference room
conference,11am,the 1st,HR,go over budget,conference room 50
optometrist appointment,4pm,the 10th,aunt,-,-
conference,2pm,the 11th,infrastructure team,discuss the merger,conference room 102
doctor appointment,2pm,the 15th,Jon,-,-
doctor appointment,7pm,wednesday,Tom,-,-
doctor appointment,7pm,the 3rd,mother,-,-
yoga activity,9am,the 2nd,brother,-,-
dentist appointment,11am,the 17th,Jeff,-,-
doctor appointment,6pm,monday,Jon,-,-
yoga activity,4pm,the 4th,Tom,-,-
doctor appointment,11am,the 14th,Marie,-,-
yoga activity,1pm,the 11th,Jon,-,-
tennis activity,11am,tuesday,sister,-,-
yoga activity,1pm,the 3rd,Jeff,-,-
yoga activity,4pm,the 5th,father,-,-
conference,6pm,the 8th,infrastructure team,go over budget,100 conference room
tennis activity,5pm,sunday,sister,-,-
taking medicine,10am,saturday,father,-,-
lab appointment,1pm,tuesday,mother,-,-
dentist appointment,4pm,saturday,brother,-,-
doctor appointment,11am,the 3rd,Jeff,-,-
optometrist appointment,11am,wednesday,father,-,-
football activity,11am,thursday,aunt,-,-
football activity,2pm,friday,brother,-,-
tennis activity,9am,friday,brother,-,-
dentist appointment,2pm,thursday,father,-,-
dentist appointment,11am,the 5th,Martha,-,-
lab appointment,11am,saturday,Jeff,-,-
lab appointment,2 pm,thursday,-,-,-
football activity,1 pm,monday,-,-,-
optometrist appointment,7 pm,wednesday,-,-,-
doctor appointment,10 am,wednesday,-,-,-
yoga activity,1 pm,thursday,-,-,-
meeting,10 am,friday,executive team,go over budget,conference room 100
tennis activity,5pm,monday,father,-,-
dinner,8pm,the 13th,sister,-,-
yoga activity,11am,the 20th,sister,-,-
conference,4pm,thursday,infrastructure team,discuss the merger,100 conference room
doctor appointment,7pm,sunday,Alex,-,-
taking medicine,2pm,the 13th,Marie,-,-
tennis activity,5pm,the 5th,father,-,-
meeting,1pm,sunday,boss,discuss the merger,conference room 100
conference,1pm,the 17th,infrastructure team,discuss dress code,conference room 50
doctor appointment,11am,thursday,Jon,-,-
doctor appointment,3pm,the 11th,sister,-,-
optometrist appointment,10am,the 9th,Martha,-,-
swimming activity,2pm,the 7th,Jeff,-,-
tennis activity,1pm,the 19th,father,-,-
conference,3pm,the 5th,HR,onboard new members,conference room 102
dentist appointment,10am,the 14th,Jeff,-,-
doctor appointment,11 am,friday,-,-,-
dinner,5 pm,thursday,-,-,-
conference,10 am,friday,infrastructure team,discuss the merger,conference room 102
lab appointment,11 am,wednesday,-,-,-
medicine,10 am,wednesday,-,-,-
yoga activity,10 am,thursday,-,-,-
tennis activity,7 pm,thursday,-,-,-
swimming activity,2 pm,thursday,-,-,-
lab appointment,1 pm,tuesday,-,-,-
medicine,3 pm,thursday,-,-,-
meeting,1 pm,wednesday,executive team,discuss the company picnic,100 conference room
conference,1 pm,monday,sales team,discuss the merger,100 conference room
dentist appointment,10am,the 10th,Tom,-,-
conference,3pm,the 13th,infrastructure team,discuss dress code,conference room 50
football activity,10am,the 4th,Jon,-,-
taking medicine,7pm,sunday,aunt,-,-
yoga activity,6pm,the 10th,sister,-,-
swimming activity,1pm,the 13th,Tom,-,-
dentist appointment,10am,the 11th,Jeff,-,-
tennis activity,4pm,friday,Tom,-,-
lab appointment,3pm,the 6th,mother,-,-
meeting,11am,the 2nd,executive team,sign the NDA,conference room 100
football activity,3pm,the 7th,Jon,-,-
dentist appointment,11am,the 7th,Martha,-,-
dinner,8pm,the 8th,Alex,-,-
tennis activity,2pm,the 12th,Jon,-,-
dinner,5 pm,tuesday,-,-,-
football activity,2 pm,wednesday,-,-,-
yoga activity,3 pm,wednesday,-,-,-
lab appointment,10 am,wednesday,-,-,-
medicine,11 am,monday,-,-,-
meeting,7 pm,monday,sales team,discuss the merger,conference room 100
football activity,11am,the 17th,Jeff,-,-
swimming activity,1pm,the 12th,mother,-,-
optometrist appointment,11am,wednesday,Marie,-,-
lab appointment,10am,the 8th,Jon,-,-
optometrist appointment,5pm,the 14th,Martha,-,-
swimming activity,9am,the 4th,brother,-,-
swimming activity,4pm,the 19th,brother,-,-
taking medicine,4pm,the 10th,mother,-,-
swimming activity,5pm,tuesday,Jon,-,-
football activity,4pm,the 13th,Alex,-,-
dinner,7pm,the 10th,Tom,-,-
taking medicine,11am,saturday,Jeff,-,-
conference,9am,the 4th,HR,discuss the company picnic,100 conference room
meeting,3pm,friday,boss,go over quarterly report,100 conference room
meeting,2pm,the 8th,HR,go over quarterly report,conference room 102
lab appointment,9am,the 3rd,Alex,-,-
tennis activity,10am,monday,Ana,-,-
meeting,4pm,the 17th,infrastructure team,discuss the merger,100 conference room
doctor appointment,7pm,the 20th,Martha,-,-
taking medicine,2pm,the 2nd,Ana,-,-
yoga activity,1pm,the 17th,mother,-,-
optometrist appointment,11am,the 6th,Jon,-,-
lab appointment,2pm,the 18th,Martha,-,-
meeting,9am,the 5th,HR,go over quarterly report,conference room 102
taking medicine,9am,friday,Jon,-,-
meeting,11am,the 18th,infrastructure team,discuss the company picnic,conference room 50
lab appointment,10am,the 10th,Marie,-,-
taking medicine,9am,the 10th,Tom,-,-
meeting,1pm,the 19th,infrastructure team,go over quarterly report,conference room 102
meeting,5pm,the 12th,sales team,discuss dress code,conference room 100
lab appointment,6pm,the 20th,brother,-,-
conference,2pm,sunday,HR,go over budget,conference room 50
conference,2 pm,monday,infrastructure team,go over budget,conference room 102
tennis activity,11 am,wednesday,-,-,-
lab appointment,1 pm,friday,-,-,-
meeting,1 pm,friday,sales team,go over budget,conference room 102
swimming activity,7 pm,monday,-,-,-
dentist,3 pm,thursday,-,-,-
conference,10am,friday,executive team,go over budget,conference room 102
tennis activity,5pm,the 10th,Marie,-,-
swimming activity,6pm,the 10th,Martha,-,-
doctor appointment,6pm,the 8th,aunt,-,-
yoga activity,5pm,the 10th,aunt,-,-
meeting,4pm,the 5th,management,go over quarterly report,100 conference room
meeting,4pm,the 5th,vice president,go over quarterly report,conference room 100
doctor appointment,9am,sunday,aunt,-,-
yoga activity,7pm,the 3rd,father,-,-
optometrist appointment,2pm,saturday,mother,-,-
dinner,5pm,tuesday,Marie,-,-
lab appointment,3pm,the 5th,Tom,-,-
dentist,10 am,thursday,-,-,-
optometrist appointment,10 am,monday,-,-,-
medicine,10 am,wednesday,-,-,-
lab appointment,3 pm,tuesday,-,-,-
football activity,10 am,monday,-,-,-
meeting,11 am,tuesday,HR,go over budget,conference room 102
dinner,5 pm,monday,-,-,-
tennis activity,10 am,monday,-,-,-
dentist,10 am,thursday,-,-,-
swimming activity,3 pm,tuesday,-,-,-
medicine,10 am,friday,-,-,-
meeting,1 pm,tuesday,sales team,discuss the company picnic,conference room 102
meeting,7 pm,thursday,HR,discuss the company picnic,conference room 100
swimming activity,2 pm,thursday,-,-,-
football activity,11 am,monday,-,-,-
yoga activity,7 pm,monday,-,-,-
dentist,7 pm,friday,-,-,-
lab appointment,10 am,wednesday,-,-,-
lab appointment,1 pm,wednesday,-,-,-
doctor appointment,7 pm,monday,-,-,-
dentist,11 am,thursday,-,-,-
swimming activity,2 pm,thursday,-,-,-
yoga activity,2 pm,wednesday,-,-,-
dentist appointment,2 pm,tuesday,-,-,-
lab appointment,2pm,the 20th,father,-,-
conference,11am,the 8th,executive team,discuss dress code,conference room 100
optometrist appointment,10am,tuesday,Alex,-,-
lab appointment,4pm,the 19th,father,-,-
football activity,10am,the 18th,mother,-,-
optometrist appointment,2pm,the 9th,Jon,-,-
